service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
001-18-0850072024-M#FR,1,0,0,0,0,0,0,20240729,20240729
001-18-0850082024-M#FR,1,0,0,1,1,1,0,20240801,20240831
001-18-0850092024-M#FR,1,0,0,1,1,1,0,20240902,20240930
001-18-0850102024-M#FR,1,0,0,1,1,1,0,20241003,20241026
001-18-0950012025-M#FR,0,0,0,1,1,1,0,20250102,20250110
001-18-0950082024-M#FR,0,0,0,0,0,0,1,20240804,20240825
001-18-0950092024-M#FR,0,0,0,0,0,0,1,20240901,20240929
001-18-0950102024-M#FR,1,0,0,1,0,0,1,20241006,20241031
001-18-0950112024-M#FR,0,0,0,1,1,1,0,20241101,20241130
001-18-0950122024-M#FR,1,0,0,1,1,1,0,20241205,20241228
001-18-0950122025-M#FR,1,0,0,0,0,0,0,20241230,20241230
001-18-1050012025-M#FR,0,0,0,0,0,0,1,20250105,20250112
001-18-1050102024-M#FR,0,0,0,0,0,0,1,20241027,20241027
001-18-1050112024-M#FR,0,0,0,0,0,0,1,20241103,20241124
001-18-1050122024-M#FR,0,0,0,0,0,0,1,20241201,20241229
001-2-0620072024-M#FR,1,0,0,0,0,0,0,20240729,20240729
001-2-0620082024-M#FR,1,0,0,1,1,1,0,20240801,20240831
001-2-0620092024-M#FR,1,0,0,1,1,1,0,20240902,20240930
001-2-0620102024-M#FR,1,0,0,1,1,1,0,20241003,20241026
001-2-0720012025-M#FR,0,0,0,1,1,1,0,20250102,20250111
001-2-0720082024-M#FR,0,0,0,0,0,0,1,20240804,20240825
001-2-0720092024-M#FR,0,0,0,0,0,0,1,20240901,20240929
001-2-0720102024-M#FR,1,0,0,1,0,0,1,20241006,20241031
001-2-0720112024-M#FR,0,0,0,1,1,1,0,20241101,20241130
001-2-0720122024-M#FR,1,0,0,1,1,1,0,20241205,20241228
001-2-0720122025-M#FR,1,0,0,0,0,0,0,20241230,20241230
001-2-0820012025-M#FR,0,0,0,0,0,0,1,20250105,20250112
001-2-0820102024-M#FR,0,0,0,0,0,0,1,20241027,20241027
001-2-0820112024-M#FR,0,0,0,0,0,0,1,20241103,20241124
001-2-0820122024-M#FR,0,0,0,0,0,0,1,20241201,20241229
001-26-1230072024-M#FR,1,0,0,0,0,0,0,20240729,20240729
