trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN14140F3074552:2024-06-26T00:35:36Z,08:06:00,08:06:00,StopPoint:OCEINTERCITES-87671339,0,,0,1,
OCESN14140F3074552:2024-06-26T00:35:36Z,08:20:00,08:23:00,StopPoint:OCEINTERCITES-87671008,1,,0,0,
OCESN14140F3074552:2024-06-26T00:35:36Z,09:02:00,09:04:00,StopPoint:OCEINTERCITES-87611137,2,,0,0,
OCESN14140F3074552:2024-06-26T00:35:36Z,09:53:00,09:53:00,StopPoint:OCEINTERCITES-87611004,3,,1,0,
OCESN14140F3276547:2024-06-26T00:35:36Z,06:27:00,06:27:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3276547:2024-06-26T00:35:36Z,07:13:00,07:15:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3276547:2024-06-26T00:35:36Z,07:36:00,07:39:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3276547:2024-06-26T00:35:36Z,08:03:00,08:06:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3276547:2024-06-26T00:35:36Z,08:20:00,08:23:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3276547:2024-06-26T00:35:36Z,09:02:00,09:04:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3276547:2024-06-26T00:35:36Z,09:53:00,09:53:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14140F3306499:2024-06-26T00:35:36Z,06:59:00,06:59:00,StopPoint:OCEINTERCITES-87673004,0,,0,1,
OCESN14140F3306499:2024-06-26T00:35:36Z,07:44:00,07:46:00,StopPoint:OCEINTERCITES-87672253,1,,0,0,
OCESN14140F3306499:2024-06-26T00:35:36Z,08:08:00,08:11:00,StopPoint:OCEINTERCITES-87672006,2,,0,0,
OCESN14140F3306499:2024-06-26T00:35:36Z,08:36:00,08:39:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
OCESN14140F3306499:2024-06-26T00:35:36Z,08:52:00,08:55:00,StopPoint:OCEINTERCITES-87671008,4,,0,0,
OCESN14140F3306499:2024-06-26T00:35:36Z,09:35:00,09:37:00,StopPoint:OCEINTERCITES-87611137,5,,0,0,
OCESN14140F3306499:2024-06-26T00:35:36Z,10:30:00,10:30:00,StopPoint:OCEINTERCITES-87611004,6,,1,0,
OCESN14141F2922278:2024-06-26T00:35:36Z,09:33:00,09:33:00,StopPoint:OCEINTERCITES-87611004,0,,0,1,
OCESN14141F2922278:2024-06-26T00:35:36Z,10:30:00,10:32:00,StopPoint:OCEINTERCITES-87611152,1,,0,0,
OCESN14141F2922278:2024-06-26T00:35:36Z,11:05:00,11:08:00,StopPoint:OCEINTERCITES-87671008,2,,0,0,
OCESN14141F2922278:2024-06-26T00:35:36Z,11:22:00,11:25:00,StopPoint:OCEINTERCITES-87671339,3,,0,0,
