route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105330F3158309:2024-06-25T15:37:49Z,105330,1,1,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105342F3163477:2024-06-26T00:35:36Z,105342,1,2,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105347F3158927:2024-06-26T00:35:36Z,105347,1,3,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105350F3163038:2024-06-26T00:35:36Z,105350,1,4,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105362F3173970:2024-06-26T00:35:36Z,105362,1,5,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN105375F3202126:2024-06-26T00:35:36Z,105375,1,6,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105377F3165835:2024-06-26T00:35:36Z,105377,1,7,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN105378F3159456:2024-06-26T00:35:36Z,105378,1,8,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105379F3163929:2024-06-25T15:37:49Z,105379,1,9,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105431F3164023:2024-06-24T00:37:25Z,105431,1,10,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105432F3163594:2024-06-25T15:37:49Z,105432,1,11,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105432F3164227:2024-06-26T00:35:36Z,105432,1,12,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN105437F3202766:2024-06-26T00:35:36Z,105437,1,13,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105442F3164834:2024-06-25T15:37:49Z,105442,1,14,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105451F3163529:2024-06-25T15:37:49Z,105451,1,15,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105455F3163581:2024-06-25T15:37:49Z,105455,1,16,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN105485F3160044:2024-06-26T00:35:36Z,105485,1,17,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN106306F3163520:2024-06-26T00:35:36Z,106306,0,18,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106330F3166348:2024-06-26T00:35:36Z,106330,0,19,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106331F3159592:2024-06-26T00:35:36Z,106331,0,20,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN106342F3211436:2024-06-24T00:37:25Z,106342,0,21,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106347F3164119:2024-06-26T00:35:36Z,106347,0,22,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN106350F3163724:2024-06-26T00:35:36Z,106350,0,23,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106367F3165309:2024-06-24T00:37:25Z,106367,0,24,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN106377F3163029:2024-06-26T00:35:36Z,106377,0,25,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106378F3164585:2024-06-26T00:35:36Z,106378,0,26,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN106379F3158872:2024-06-25T15:37:49Z,106379,0,27,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN106437F3177289:2024-06-26T00:35:36Z,106437,0,28,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN106442F3164015:2024-06-25T15:37:49Z,106442,0,29,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106450F3166580:2024-06-26T00:35:36Z,106450,0,30,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN106461F3160110:2024-06-23T00:36:59Z,106461,0,31,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN106461F3171050:2024-06-25T15:37:49Z,106461,0,32,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN106485F3163480:2024-06-26T00:35:36Z,106485,0,33,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN107241F3162505:2024-06-26T00:35:36Z,107241,1,34,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN107260F3162823:2024-06-24T00:37:25Z,107260,1,35,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN107261F3163390:2024-06-25T15:37:49Z,107261,1,36,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN107284F3161479:2024-06-25T15:37:49Z,107284,1,37,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN107284F3166424:2024-06-26T00:35:36Z,107284,1,38,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107300F3163466:2024-06-26T00:35:36Z,107300,1,39,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107306F3163036:2024-06-26T00:35:36Z,107306,1,40,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107359F3301206:2024-06-26T00:35:36Z,107359,1,41,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107455F3163492:2024-06-26T00:35:36Z,107455,1,42,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN108203F3205334:2024-06-26T00:35:36Z,108203,0,43,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108241F3164263:2024-06-25T15:37:49Z,108241,0,44,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108260F3167217:2024-06-25T15:37:49Z,108260,0,45,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN108284F3163926:2024-06-26T00:35:36Z,108284,0,46,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN108300F3163519:2024-06-25T15:37:49Z,108300,0,47,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN108359F3163455:2024-06-25T15:37:49Z,108359,0,48,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN108359F3163735:2024-06-26T00:35:36Z,108359,0,49,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108440F3163504:2024-06-25T15:37:49Z,108440,0,50,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN108440F3175845:2024-06-26T00:35:36Z,108440,0,51,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN108444F3161614:2024-06-25T15:37:49Z,108444,0,52,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000016,OCESN117752F3032003:2024-06-25T15:37:49Z,117752,1,53,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000017,OCESN117752F3032774:2024-06-26T00:35:36Z,117752,1,54,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000018,OCESN117752F3059868:2024-06-25T15:37:49Z,117752,1,55,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000019,OCESN117752F3091080:2024-06-25T15:37:49Z,117752,1,56,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000020,OCESN117752F3163708:2024-06-25T15:37:49Z,117752,1,57,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000021,OCESN117752F3336045:2024-06-25T15:37:49Z,117752,1,58,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000022,OCESN117760F3261630:2024-06-25T15:37:49Z,117760,1,59,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000022,OCESN117762F3241409:2024-06-25T15:37:49Z,117762,1,60,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13100F3164405:2024-06-25T15:37:49Z,13100,1,61,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000024,OCESN13100F3339112:2024-06-25T15:37:49Z,13100,1,62,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13100F3339114:2024-06-25T15:37:49Z,13100,1,63,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000026,OCESN13100F3339115:2024-06-25T15:37:49Z,13100,1,64,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000027,OCESN13101F2974931:2024-06-25T15:37:49Z,13101,0,65,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13101F3090678:2024-06-25T15:37:49Z,13101,0,66,
