trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12213F2586070:2024-06-14T00:38:46Z,19:04:00,19:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F2586070:2024-06-14T00:38:46Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,1,
OCESN12213F2586070:2024-06-14T00:38:46Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F2586070:2024-06-14T00:38:46Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F2586070:2024-06-14T00:38:46Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F2860211:2024-06-25T15:37:49Z,19:04:00,19:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F2860211:2024-06-25T15:37:49Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F2860211:2024-06-25T15:37:49Z,22:24:00,22:27:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F2860211:2024-06-25T15:37:49Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F2860211:2024-06-25T15:37:49Z,23:42:00,23:42:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3032338:2024-06-18T00:37:20Z,19:04:00,19:04:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3032338:2024-06-18T00:37:20Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,1,
OCESN12213F3032338:2024-06-18T00:37:20Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3032338:2024-06-18T00:37:20Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3032338:2024-06-18T00:37:20Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3090751:2024-05-30T00:26:09Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3090751:2024-05-30T00:26:09Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3090751:2024-05-30T00:26:09Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3090751:2024-05-30T00:26:09Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3090751:2024-05-30T00:26:09Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3090752:2024-05-30T00:26:09Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3090752:2024-05-30T00:26:09Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3090752:2024-05-30T00:26:09Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3090752:2024-05-30T00:26:09Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3090752:2024-05-30T00:26:09Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3094116:2024-04-16T00:31:58Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3094116:2024-04-16T00:31:58Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3094116:2024-04-16T00:31:58Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3094116:2024-04-16T00:31:58Z,23:02:00,23:05:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3094116:2024-04-16T00:31:58Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12234F3091205:2024-05-31T00:26:05Z,09:26:00,09:26:00,StopPoint:OCETGV INOUI-87677005,0,,0,1,
OCESN12234F3091205:2024-05-31T00:26:05Z,09:37:00,09:39:00,StopPoint:OCETGV INOUI-87677120,1,,0,0,
OCESN12234F3091205:2024-05-31T00:26:05Z,09:50:00,09:53:00,StopPoint:OCETGV INOUI-87673400,2,,0,0,
OCESN12234F3091205:2024-05-31T00:26:05Z,10:08:00,10:11:00,StopPoint:OCETGV INOUI-87673004,3,,0,0,
OCESN12234F3091205:2024-05-31T00:26:05Z,10:41:00,10:46:00,StopPoint:OCETGV INOUI-87673202,4,,0,0,
OCESN12234F3091205:2024-05-31T00:26:05Z,12:06:00,12:12:00,StopPoint:OCETGV INOUI-87581009,5,,0,0,
OCESN12234F3091205:2024-05-31T00:26:05Z,14:16:00,14:16:00,StopPoint:OCETGV INOUI-87391003,6,,1,0,
OCESN12234F3091206:2024-05-31T00:26:05Z,09:26:00,09:26:00,StopPoint:OCETGV INOUI-87677005,0,,0,1,
OCESN12234F3091206:2024-05-31T00:26:05Z,09:37:00,09:39:00,StopPoint:OCETGV INOUI-87677120,1,,0,0,
OCESN12234F3091206:2024-05-31T00:26:05Z,09:50:00,09:53:00,StopPoint:OCETGV INOUI-87673400,2,,0,0,
OCESN12234F3091206:2024-05-31T00:26:05Z,10:08:00,10:11:00,StopPoint:OCETGV INOUI-87673004,3,,0,0,
OCESN12234F3091206:2024-05-31T00:26:05Z,10:41:00,10:46:00,StopPoint:OCETGV INOUI-87673202,4,,0,0,
OCESN12234F3091206:2024-05-31T00:26:05Z,12:06:00,12:12:00,StopPoint:OCETGV INOUI-87581009,5,,0,0,
OCESN12234F3091206:2024-05-31T00:26:05Z,14:16:00,14:16:00,StopPoint:OCETGV INOUI-87391003,6,,1,0,
OCESN12244F2411099:2024-06-26T00:35:36Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F2411099:2024-06-26T00:35:36Z,20:47:00,20:50:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F2411099:2024-06-26T00:35:36Z,20:59:00,20:59:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12244F3090438:2024-06-26T00:35:36Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F3090438:2024-06-26T00:35:36Z,20:42:00,20:45:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F3090438:2024-06-26T00:35:36Z,20:55:00,20:55:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
