route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000001,OCESN12213F3090511:2024-07-05T00:31:08Z,12213,1,1,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12213F3091104:2024-08-25T00:25:17Z,12213,1,2,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12213F3097003:2024-08-27T00:25:10Z,12213,1,3,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000004,OCESN12234F3091206:2024-08-29T00:25:22Z,12234,1,4,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12244F3090436:2024-08-28T00:25:25Z,12244,0,5,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12244F3090437:2024-08-28T00:25:25Z,12244,0,6,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000007,OCESN12244F3133852:2024-08-29T00:25:22Z,12244,0,7,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000007,OCESN12249F3272643:2024-08-29T00:25:22Z,12249,0,8,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12250F2586052:2024-08-28T00:25:25Z,12250,0,9,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12250F2586064:2024-08-28T00:25:25Z,12250,0,10,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12250F3090954:2024-08-28T00:25:25Z,12250,0,11,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12250F3227328:2024-08-28T00:25:25Z,12250,0,12,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12250F3227329:2024-08-28T00:25:25Z,12250,0,13,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000013,OCESN12251F2181625:2024-08-28T00:25:25Z,12251,1,14,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12251F3133819:2024-08-28T00:25:25Z,12251,1,15,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12251F3133821:2024-08-28T00:25:25Z,12251,1,16,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12251F3301298:2024-08-28T00:25:25Z,12251,1,17,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000016,OCESN12254F3134084:2024-08-29T00:25:22Z,12254,0,18,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12254F3153366:2024-08-28T00:25:25Z,12254,0,19,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12254F3153367:2024-08-28T00:25:25Z,12254,0,20,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12254F3153371:2024-08-28T00:25:25Z,12254,0,21,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12254F3217728:2024-08-28T00:25:25Z,12254,0,22,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12254F3306038:2024-08-28T00:25:25Z,12254,0,23,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12255F3094736:2024-08-28T00:25:25Z,12255,1,24,
